MIN_CH,MEDIA_CH,MAX_CH
310.1333333,320.648,320.9333333
310.3,329,359.2333333
311.9666667,337,381.4333333
311.6333333,344,403.6666667
311.6,351,426.5333333
312.7333333,361,442.9
313.9,371,457.3666667
313.7666667,383,472.5
314.1666667,395,487.0666667
319.3333333,409,500.5
320.7,424,513.3666667
325.4666667,440,524.5
329.2333333,457,534.3666667
332.9,473,544.0666667
338.8,489,553
350.2666667,504,564.1666667
352.9666667,518,574.1666667
369.3,532,583.6
380.4666667,543,590.7
406.6,554.6313333,599.2666667
429.5,565,607.7
464.5333333,575,615.6
472.8666667,584,621.3333333
505.7333333,592,629.9
525.5,600,637.0666667
549,608,643.5333333
556.7,616,648.2
567.8333333,624,654.9
572.0666667,631,661.4333333
581.5333333,639,670
593.8333333,646,677.6666667
606.7666667,654.337,686.1
615.5333333,662,695.7
624.7,670.8623333,702.9666667
633.7,680,712.5333333
641.7,689,721.5666667
650.7,698,731.1666667
660.3,709,745.9
669.9666667,720,755.2
677.6,732,768.4666667
694.7333333,745,784.3
702.8,760,796.6333333
724.1666667,778,809.8
747.9333333,799,823.8666667
772.4,821,839.9
836.1,848.9253333,849.5666667
