MIN_CN,MEDIA_CN,MAX_CN
333.6,344,348.0666667
330.7666667,352,386.5666667
337.3333333,358,404.4666667
331.0666667,365,433.4666667
331.1666667,374,449.3666667
331.1333333,382,469.7666667
331.5333333,392,490.8
331.7333333,403,505.8666667
333.1,414,523.4333333
333.1666667,427,539.7333333
334.1666667,441,555.8333333
335.4666667,456,567.6666667
338.5666667,472,578.7333333
342.9666667,489,588.6
347.4333333,506,597.2333333
357.5666667,523.7506667,607.2
369.7,541,616.6
385.1,556,625.0666667
395.1666667,571,633.0666667
413.2666667,584,640.7666667
438.2666667,596,648.1333333
452.6333333,607,654.2333333
484.7333333,617,661.9
535.3333333,627,668.1
538.1,636,674.1666667
570.3,645,684.4
584.7333333,653,691.2333333
600.7666667,661,699.2
604.8,670,705.3
619.2666667,678,714.0666667
628.7,687,722.5333333
642.0333333,695,730.1333333
649.8,704,737.2666667
661.1,712,747.9666667
667.6666667,721,757.8
681.4666667,730,769.2
694.3666667,740.3213333,779.2
699.2333333,750,795.0333333
711.3,760,799.8
721.4333333,772,818.0333333
732.4666667,784,828.0333333
742.6,799,847.2666667
758.5,811,852.0333333
808.7333333,838,862.9666667
840.1666667,849,854.9
871.2,871.2,871.2
