MIN_LC,MEDIA_LC,MAX_LC
284.83,291.539,293.5333333
285.8333333,300,333.9
286.3333333,310,355.6333333
285.7666667,319,384.1666667
286.4,329,404.9333333
286.6333333,340.537,420.8666667
287.4666667,352,435.5
290.3333333,365,449.2
290.1666667,378,461.9666667
293.8,392.4146667,473.5666667
298.8,407,484.4333333
301.1333333,422,497.4
300.8,437,509.4333333
320.6,451,517.3666667
328.3666667,465,530.2333333
332.4333333,478,538.0666667
352.9333333,491,546.4333333
356.7333333,503,553.8
378.1666667,514,562.6333333
399.2666667,524,571.7333333
414.4,534,580.1666667
432.6666667,544,587.2333333
452.4666667,553,595.7
468.9333333,563,602.2666667
484.5,572,612.0333333
496.1666667,581,621.5333333
507.9,589,630.3
528.7,598,640.7333333
536.5,607,649.1666667
549.9,616,657.1666667
556.0333333,625,665.8
561.1666667,633.9966667,675.1
575.5666667,643,686.9666667
583.5,653,697.5
594.7333333,663,708.2333333
608,673,717.2666667
617.5,683,726.9333333
627.5333333,694,739.5
634.9666667,705,754.4333333
651.2333333,716,763.5333333
663,727,775.0666667
680.8,738,781.7
700.3333333,743.2976667,796.6
698.1,750.25,810.8
699.6,711.929,722.5
699.6,711.929,722.5
