MIN_MT,MEDIA_MT,MAX_MT
339.2333333,339.377,345.8
324.7666667,348,392.6
324.8,357,423.0333333
325.0666667,367,450.1666667
325,377,474.3
325.2333333,389,512.5
325.4666667,401,534.2666667
326.3,416,554.3
326.2,433,578.2333333
328.3,451,596.3333333
328.4333333,472,614.7
330.5666667,494,630.4333333
336.5,518,644.8
343.5666667,542,657.1666667
346.9,566,665.9
351.2666667,589,679.8333333
370,610,688.4
381.1,629.018,698.8333333
395.9666667,646,710.8666667
437.1666667,661,718.3666667
458.0666667,675,729.0333333
461.9666667,688,740.5
534.2666667,700,752.5666667
554.1,711,761.6
580.7333333,722,771.0666667
605.5666667,733,781.3666667
640.9,744,789.3333333
672.5666667,755,799.8666667
695.1,765,808.5333333
705.6666667,775.2646667,817.2
727.3666667,786,825.4333333
740.2333333,796,834.2
747.3,806,845.3
758.9333333,817,855.8
773.4666667,828,868.4333333
782.7666667,840,880.5666667
799.9,852,890.5666667
808.3666667,865,904.4
820.3,879,916.7666667
836.9333333,894,928.2333333
849.9666667,909,939.6
864.2333333,925,952.4333333
888.0666667,940,961.7666667
908.7,956,967.0333333
939.4333333,969.5446667,971.2666667
956.5,956.5,956.5
